"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,275,153,0,184,144,99,41083.1,50432.4,10814.1,1112.77,1934.95
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,279,157,0,177,162,54,162503,8014.23,3328.36,43629.8,3272.99
function@_QMplane_source_modPplane_source_apply,80,44,0,23,42,9,4223.12,1911.75,229.312,1200.06,940.688
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,45,12,0,26,9,91,40.3066,11.0896,23.2361,10.0058,33.0977
function@_QMmur_modPmur_init,203,127,0,76,84,112,307.526,413.526,42.2441,121.099,132.133
function@_QMmur_modPmur_updatee,1503,848,0,1055,760,122,23059.6,8054.9,7698.14,4233.66,1031.98
function@_QMmur_modPmur_storee,997,441,0,480,495,81,39901.3,7165.43,8422.93,9116.93,3360.57
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,65,99,0,89,8,36,5415.15,13055.2,1293.5,31.6,7571
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,256,24,0,76,68,1,256,24,76,58,1
function@_QMupdate_modPupdateh..omp_par.4,384,158,0,187,130,22,274304,58326.9,43951.4,12838.1,11010.5
function@_QMupdate_modPupdateh..omp_par.3,66,54,0,86,4,15,11038.2,10714,5953,650.438,2591.69
function@_QMupdate_modPupdateh..omp_par.2,34,33,0,48,3,9,4919.56,5554.62,2672.38,330.5,1620.81
function@_QMupdate_modPupdateh..omp_par.1,30,27,0,42,7,10,3949.81,4883.94,1381.69,662,1621.31
function@_QMupdate_modPupdateh..omp_par,53,46,0,71,6,15,9354,10569.5,2968.94,1225.31,3251.12
function@_QMupdate_modPupdatee,186,24,0,72,65,1,143.5,24,72,54.5,1
function@_QMupdate_modPupdatee..omp_par.7,523,183,0,268,148,19,497703,91030.6,73480.6,20935,17888
function@_QMupdate_modPupdatee..omp_par.6,189,65,0,101,35,9,8444.58,2069.73,2612.17,201.896,904.35
