Comando: /home/mpvreal/Code/Faculdade/tcc/llvm/build/bin/llc -march=x86 --regalloc=basic -o -
Heurística: div(cost,mul(area,degree))
~&SPILL_STATS,3, 0, 0, 1, 0, 2, 1.66667, 0, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 3, 0, 1, 8, 3, 2111.5, 2079.62, 31.875, 2177.25, 33792.8
~&SPILL_STATS,6, 12, 0, 1, 10, 16, 180.625, 2879, 31.875, 1164, 68569.1
~&SPILL_STATS,2, 4, 0, 0, 6, 10, 63.75, 2762.25, 0, 1121.5, 70345.8
~&SPILL_STATS,9, 42, 0, 17, 2, 6, 134.875, 522.75, 285.875, 32.875, 127.25
~&SPILL_STATS,43, 118, 0, 65, 2, 6, 690.625, 1801.25, 1063.88, 32.875, 127.25
~&SPILL_STATS,15, 27, 0, 30, 2, 6, 478.125, 860.625, 956.25, 32.875, 191.25
~&SPILL_STATS,21, 32, 0, 29, 2, 7, 232.375, 686, 588.625, 16.9375, 207.562
~&SPILL_STATS,11, 2, 0, 3, 9, 1, 109633, 1056, 1057, 3202, 32768
~&SPILL_STATS,13, 46, 0, 23, 9, 2, 232513, 1.44285e+06, 656417, 3202, 32769
